"id","name","latitude","longitude","address","created_at","updated_at"
"41","Pacific Brewing Company","32.896688","-117.137573"," 8680 Miralani Dr., San Diego","2014-10-27 01:21:02.896773","2014-10-27 01:21:02.896773"
"42","Butcher's Brewing","32.896688","-117.137573"," 9962 Prospect Ave, Santee","2014-10-27 01:21:35.075287","2014-10-27 01:21:35.075287"
"43","El Cajon Brewing Company","32.883642","-117.171767"," 110 N Magnolia Ave., El Cajon","2014-10-27 01:21:48.287906","2014-10-27 01:21:48.287906"
"44","Rough Draft Brewing Company","32.883642","-117.171767"," 8830 Rehco Rd Ste D, San Diego","2014-10-27 01:21:53.662159","2014-10-27 01:21:53.662159"
"45","Mission Brewery","32.707138","-117.151511"," 1441 L Street, San Diego","2014-10-27 01:21:58.195378","2014-10-27 01:21:58.195378"
"46","ChuckAlek Independent Brewers","33.027674","-116.889251"," 2330 Main St, Ramona","2014-10-27 01:22:06.668763","2014-10-27 01:22:06.668763"
"47","Aztec Brewing Company","33.149676","-117.229947"," 2330 La Mirada Dr Ste 300, Vista","2014-10-27 01:22:10.705960","2014-10-27 01:22:10.705960"
"48","BNS Brewing & Distilling Co.","32.846453","-116.958367"," 10960 Wheatlands Ave Ste 101, Santee","2014-10-27 01:22:14.751149","2014-10-27 01:22:14.751149"
"49","Saint Archer Brewing Co.","32.880398","-117.163354"," 9550 Distribution Ave, San Diego","2014-10-27 01:22:18.672336","2014-10-27 01:22:18.672336"
"50","Groundswell Brewing Company","32.78903","-117.099817"," 6304 Riverdale St, San Diego","2014-10-27 01:22:21.538472","2014-10-27 01:22:21.538472"
"51","Lightning Brewery","32.935596","-117.043484","13200 Kirkham Way, Poway, CA 92064","2014-10-27 01:22:26.380702","2014-10-27 01:22:26.380702"
